project_index,folder_count,file_count,file_count_tslike,file_count_.ts,file_count_.tsx,file_count_.js,file_count_.jsx,commit_count,unique_commit_authors,commit_count_per_author,first_commit_date,last_commit_date,lines_of_code,lines_of_code_tslike,lines_of_code_.ts,lines_of_code_.tsx,lines_of_code_.js,lines_of_code_.jsx,lines_of_comments,lines_of_comments_tslike,lines_of_comments_.ts,lines_of_comments_.tsx,lines_of_comments_.js,lines_of_comments_.jsx,/frontend_.ts_file_count,/frontend_.ts_total_lines,/frontend_.ts_sloc,/frontend_.ts_total_lines_of_comments,/frontend_.ts_blank_lines,/frontend_.js_file_count,/frontend_.js_total_lines,/frontend_.js_sloc,/frontend_.js_total_lines_of_comments,/frontend_.js_blank_lines,/src_.ts_file_count,/src_.ts_total_lines,/src_.ts_sloc,/src_.ts_total_lines_of_comments,/src_.ts_blank_lines,/src_.js_file_count,/src_.js_total_lines,/src_.js_sloc,/src_.js_total_lines_of_comments,/src_.js_blank_lines,/test/controller_.ts_file_count,/test/controller_.ts_total_lines,/test/controller_.ts_sloc,/test/controller_.ts_total_lines_of_comments,/test/controller_.ts_blank_lines,/test/controller_.js_file_count,/test/controller_.js_total_lines,/test/controller_.js_sloc,/test/controller_.js_total_lines_of_comments,/test/controller_.js_blank_lines,/test/rest_.ts_file_count,/test/rest_.ts_total_lines,/test/rest_.ts_sloc,/test/rest_.ts_total_lines_of_comments,/test/rest_.ts_blank_lines,/test/rest_.js_file_count,/test/rest_.js_total_lines,/test/rest_.js_sloc,/test/rest_.js_total_lines_of_comments,/test/rest_.js_blank_lines,3_folders_file_count,3_folders_total_lines,3_folders_sloc,3_folders_total_lines_of_comments,3_folders_blank_lines,/frontend_file_count,/frontend_total_lines,/frontend_sloc,/frontend_total_lines_of_comments,/frontend_blank_lines,/src_file_count,/src_total_lines,/src_sloc,/src_total_lines_of_comments,/src_blank_lines,/test/controller_file_count,/test/controller_total_lines,/test/controller_sloc,/test/controller_total_lines_of_comments,/test/controller_blank_lines,/test/rest_file_count,/test/rest_total_lines,/test/rest_sloc,/test/rest_total_lines_of_comments,/test/rest_blank_lines,typescript_file_count,typescript_total_lines,typescript_sloc,typescript_total_lines_of_comments,typescript_blank_lines,javascript_file_count,javascript_total_lines,javascript_sloc,javascript_total_lines_of_comments,javascript_blank_lines,cc_sum,cc_sum_3folders,term
229,35,135,18,16,0,2,0,61,3,"[43, 8, 5, 4, 1]",2022-01-26,2022-04-01,171840,2181,1903,0,278,0,964,145,145,0,0,0,0,0,0,0,0,1,73,68,0,5,10,1269,1041,114,114,0,0,0,0,0,5,580,469,50,61,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,17,2169,1594,193,189,1,73,68,0,5,10,1383,1041,114,114,5,630,469,50,61,1,83,16,29,9,16,2096,1526,193,184,1,73,68,0,5,248,248,2
230,36,238,31,29,0,2,0,218,3,"[116, 80, 17, 4, 1]",2022-01-26,2022-04-03,175028,4790,4305,0,485,0,1506,550,531,0,19,0,0,0,0,0,0,1,280,197,23,60,27,3478,2711,455,312,0,0,0,0,0,1,607,471,76,60,0,0,0,0,0,1,220,142,58,20,0,0,0,0,0,30,5197,3521,612,452,1,303,197,23,60,27,3933,2711,455,312,1,683,471,76,60,1,278,142,58,20,29,4894,3324,589,392,1,303,197,23,60,902,902,2
231,37,163,26,24,0,2,0,153,4,"[73, 42, 32, 4, 1, 1]",2022-01-26,2022-04-06,197560,4669,4287,0,382,0,2180,579,535,0,44,0,0,0,0,0,0,1,177,47,102,28,13,1973,1530,309,134,0,0,0,0,0,4,1114,881,149,84,0,0,0,0,0,1,294,228,28,38,0,0,0,0,0,19,4146,2686,588,284,1,279,47,102,28,13,2282,1530,309,134,4,1263,881,149,84,1,322,228,28,38,18,3867,2639,486,256,1,279,47,102,28,939,762,2
232,34,67,9,7,0,2,0,45,3,"[17, 12, 11, 4, 1]",2022-01-26,2022-04-07,69598,1162,952,0,210,0,757,191,191,0,0,0,0,0,0,0,0,1,5,4,0,1,5,784,527,174,83,0,0,0,0,0,1,114,80,16,18,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,8,1176,627,219,111,1,5,4,0,1,5,958,527,174,83,1,130,80,16,18,1,83,16,29,9,7,1171,623,219,110,1,5,4,0,1,167,167,2
233,42,124,30,29,0,1,0,128,4,"[70, 30, 17, 7, 3, 1]",2022-01-26,2022-04-07,189733,3832,3627,0,205,0,1480,210,210,0,0,0,8,593,522,7,64,0,0,0,0,0,15,1623,1342,139,142,0,0,0,0,0,1,726,628,34,64,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,25,3205,2508,209,279,8,600,522,7,64,15,1762,1342,139,142,1,760,628,34,64,1,83,16,29,9,25,3205,2508,209,279,0,0,0,0,0,574,567,2
234,36,151,18,16,0,2,0,99,4,"[38, 20, 19, 17, 4, 1]",2022-01-26,2022-04-07,124312,3490,2877,0,613,0,1265,253,191,0,62,0,0,0,0,0,0,1,408,310,62,36,13,2027,1709,160,158,0,0,0,0,0,1,497,418,30,49,0,0,0,0,0,1,340,290,29,21,0,0,0,0,0,16,3553,2727,281,264,1,470,310,62,36,13,2187,1709,160,158,1,527,418,30,49,1,369,290,29,21,15,3083,2417,219,228,1,470,310,62,36,643,641,2
235,37,203,16,14,0,2,0,217,4,"[71, 63, 40, 38, 4, 1]",2022-01-26,2022-03-31,128164,3293,2648,0,645,0,1670,679,672,0,7,0,0,0,0,0,0,1,230,205,7,18,10,1829,1275,425,129,0,0,0,0,0,1,439,352,66,21,0,0,0,0,0,1,241,25,205,11,0,0,0,0,0,13,3442,1857,703,179,1,237,205,7,18,10,2254,1275,425,129,1,505,352,66,21,1,446,25,205,11,12,3205,1652,696,161,1,237,205,7,18,430,428,2
236,48,172,25,24,0,1,0,153,4,"[63, 50, 24, 11, 4, 1]",2022-01-26,2022-04-03,110540,2959,2754,0,205,0,1011,202,202,0,0,0,7,155,135,3,17,0,0,0,0,0,14,1789,1392,195,202,0,0,0,0,0,1,591,516,16,59,0,0,0,0,0,1,208,169,18,21,0,0,0,0,0,23,2975,2212,232,299,7,158,135,3,17,14,1984,1392,195,202,1,607,516,16,59,1,226,169,18,21,23,2975,2212,232,299,0,0,0,0,0,573,571,2
237,40,147,16,12,0,4,0,96,2,"[58, 33, 4, 1]",2022-01-26,2022-04-07,185717,2543,1967,0,576,0,1683,310,249,0,61,0,0,0,0,0,0,3,371,275,61,35,10,1778,1433,237,108,0,0,0,0,0,1,133,94,20,19,0,0,0,0,0,1,56,37,10,9,0,0,0,0,0,15,2666,1839,328,171,3,432,275,61,35,10,2015,1433,237,108,1,153,94,20,19,1,66,37,10,9,12,2234,1564,267,136,3,432,275,61,35,551,353,2
238,46,210,49,34,0,15,0,117,4,"[80, 18, 12, 3, 3, 1]",2022-01-26,2022-04-06,129510,4321,3582,0,739,0,1202,419,358,0,61,0,0,0,0,0,0,0,0,0,0,0,30,2327,1922,213,192,14,534,435,61,38,1,1020,794,161,65,0,0,0,0,0,1,79,39,32,8,0,0,0,0,0,46,4427,3190,467,303,0,0,0,0,0,44,3135,2357,274,230,1,1181,794,161,65,1,111,39,32,8,32,3832,2755,406,265,14,595,435,61,38,723,721,2
239,43,197,24,17,0,7,0,220,3,"[93, 87, 36, 3, 1]",2022-01-26,2022-04-07,205246,5171,4706,0,465,0,1564,255,242,0,13,0,0,0,0,0,0,6,260,229,15,16,15,1709,1208,312,189,0,0,0,0,0,1,2547,2460,22,65,0,0,0,0,0,1,450,394,35,21,0,0,0,0,0,23,5350,4291,384,291,6,275,229,15,16,15,2021,1208,312,189,1,2569,2460,22,65,1,485,394,35,21,17,5075,4062,369,275,6,275,229,15,16,736,538,2
240,38,208,16,15,0,1,0,98,3,"[44, 33, 16, 4, 1]",2022-01-26,2022-04-01,98724,2268,2063,0,205,0,973,206,206,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1465,1160,192,113,0,0,0,0,0,1,415,308,46,61,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,13,2201,1484,267,183,0,0,0,0,0,11,1657,1160,192,113,1,461,308,46,61,1,83,16,29,9,13,2201,1484,267,183,0,0,0,0,0,460,458,2
241,40,227,20,17,0,3,0,137,4,"[52, 39, 25, 16, 4, 1]",2022-01-27,2022-04-07,154674,3424,2767,0,657,0,1436,357,338,0,19,0,0,0,0,0,0,2,451,394,19,38,14,2389,2051,200,138,0,0,0,0,0,1,307,165,131,11,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,18,3580,2626,379,196,2,470,394,19,38,14,2589,2051,200,138,1,438,165,131,11,1,83,16,29,9,16,3110,2232,360,158,2,470,394,19,38,724,722,2
242,41,258,33,27,5,1,0,203,3,"[143, 54, 4, 1, 1]",2022-01-27,2022-04-07,250600,3794,3317,272,205,0,1965,492,488,4,0,0,8,293,252,9,32,0,0,0,0,0,20,2462,1908,304,250,0,0,0,0,0,1,595,278,266,51,0,0,0,0,0,1,211,153,43,15,0,0,0,0,0,30,4183,2591,622,348,8,302,252,9,32,20,2766,1908,304,250,1,861,278,266,51,1,254,153,43,15,30,4183,2591,622,348,0,0,0,0,0,737,735,2
243,38,113,13,11,0,2,0,189,4,"[77, 47, 37, 23, 4, 1]",2022-01-27,2022-04-07,200459,2342,2129,0,213,0,1727,160,160,0,0,0,0,0,0,0,0,1,5,4,0,1,8,1315,1053,176,86,0,0,0,0,0,1,565,-41,566,40,0,0,0,0,0,1,238,-30,251,17,0,0,0,0,0,11,3116,986,993,144,1,5,4,0,1,8,1491,1053,176,86,1,1131,-41,566,40,1,489,-30,251,17,10,3111,982,993,143,1,5,4,0,1,272,270,2
244,39,129,18,16,0,2,0,126,4,"[52, 28, 28, 13, 4, 1]",2022-01-27,2022-04-07,161223,2487,2108,0,379,0,1229,153,133,0,20,0,0,0,0,0,0,1,271,213,25,33,13,1514,1269,118,127,0,0,0,0,0,1,413,347,15,51,0,0,0,0,0,1,168,151,2,15,0,0,0,0,0,16,2526,1980,160,226,1,296,213,25,33,13,1632,1269,118,127,1,428,347,15,51,1,170,151,2,15,15,2230,1767,135,193,1,296,213,25,33,452,451,2
245,32,63,6,4,0,2,0,22,4,"[12, 3, 2, 2, 2, 1]",2022-01-27,2022-04-07,69391,1013,800,0,213,0,764,205,205,0,0,0,0,0,0,0,0,1,5,4,0,1,3,686,442,202,42,0,0,0,0,0,1,114,80,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1023,526,218,61,1,5,4,0,1,3,888,442,202,42,1,130,80,16,18,0,0,0,0,0,4,1018,522,218,60,1,5,4,0,1,141,141,2
246,41,209,19,11,0,8,0,84,9,"[22, 17, 11, 9, 9, 4, 4, 3, 2, 2, 1]",2022-01-27,2022-04-07,199206,2485,2009,0,476,0,3502,211,183,0,28,0,0,0,0,0,0,7,271,224,28,19,9,1528,1296,168,64,0,0,0,0,0,1,250,202,17,31,0,0,0,0,0,1,231,198,24,9,0,0,0,0,0,18,2517,1920,237,123,7,299,224,28,19,9,1696,1296,168,64,1,267,202,17,31,1,255,198,24,9,11,2218,1696,209,104,7,299,224,28,19,697,498,2
247,36,95,25,24,0,1,0,150,3,"[77, 59, 10, 3, 1]",2022-01-27,2022-04-08,93571,3851,3646,0,205,0,1024,287,287,0,0,0,4,224,204,0,20,0,0,0,0,0,16,1790,1391,241,158,0,0,0,0,0,2,1297,1171,32,94,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,23,3667,2782,302,281,4,224,204,0,20,16,2031,1391,241,158,2,1329,1171,32,94,1,83,16,29,9,23,3667,2782,302,281,0,0,0,0,0,597,597,2
248,38,148,15,13,0,2,0,91,4,"[27, 22, 21, 16, 4, 1]",2022-01-27,2022-04-07,245820,2947,2567,0,380,0,1733,279,273,0,6,0,0,0,0,0,0,1,175,154,6,15,10,1678,1250,236,192,0,0,0,0,0,1,603,519,29,55,0,0,0,0,0,1,261,209,29,23,0,0,0,0,0,13,3017,2132,300,285,1,181,154,6,15,10,1914,1250,236,192,1,632,519,29,55,1,290,209,29,23,12,2836,1978,294,270,1,181,154,6,15,509,505,2
249,34,171,30,27,0,3,0,107,5,"[37, 28, 18, 15, 4, 4, 1]",2022-01-27,2022-04-06,163017,5051,4673,0,378,0,1302,278,253,0,25,0,0,0,0,0,0,2,173,128,25,20,18,2356,1998,118,240,0,0,0,0,0,7,2246,1927,113,206,0,0,0,0,0,1,58,20,27,11,0,0,0,0,0,28,5116,4073,283,477,2,198,128,25,20,18,2474,1998,118,240,7,2359,1927,113,206,1,85,20,27,11,26,4918,3945,258,457,2,198,128,25,20,820,818,2
250,34,135,17,15,0,2,0,142,4,"[56, 38, 21, 21, 5, 1]",2022-01-27,2022-04-08,97547,2606,2215,0,391,0,1160,440,354,0,86,0,0,0,0,0,0,1,186,88,86,12,13,1637,1198,299,140,0,0,0,0,0,1,462,369,44,49,0,0,0,0,0,1,116,89,18,9,0,0,0,0,0,16,2848,1744,447,210,1,272,88,86,12,13,1936,1198,299,140,1,506,369,44,49,1,134,89,18,9,15,2576,1656,361,198,1,272,88,86,12,548,548,2
251,35,81,15,13,0,2,0,57,3,"[23, 23, 6, 4, 1]",2022-01-27,2022-04-07,131456,1953,1726,0,227,0,1232,192,192,0,0,0,0,0,0,0,0,1,18,11,0,7,10,1463,1177,179,107,0,0,0,0,0,1,197,171,2,24,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,13,1942,1375,210,147,1,18,11,0,7,10,1642,1177,179,107,1,199,171,2,24,1,83,16,29,9,12,1924,1364,210,140,1,18,11,0,7,377,375,2
252,36,86,22,20,0,2,0,172,3,"[95, 44, 28, 4, 1]",2022-01-27,2022-04-07,94755,3334,2968,0,366,0,926,199,188,0,11,0,0,0,0,0,0,1,161,135,11,15,16,1693,1428,138,127,0,0,0,0,0,2,1172,1069,44,59,0,0,0,0,0,1,89,68,11,10,0,0,0,0,0,20,3319,2700,204,211,1,172,135,11,15,16,1831,1428,138,127,2,1216,1069,44,59,1,100,68,11,10,19,3147,2565,193,196,1,172,135,11,15,477,476,2
253,48,219,37,35,0,2,0,185,5,"[88, 44, 23, 22, 4, 3, 1]",2022-01-27,2022-04-03,262639,4022,3730,0,292,0,1986,297,297,0,0,0,0,0,0,0,0,1,87,77,0,10,28,2240,1770,231,239,0,0,0,0,0,1,868,764,20,84,0,0,0,0,0,1,513,440,39,34,0,0,0,0,0,31,3998,3051,290,367,1,87,77,0,10,28,2471,1770,231,239,1,888,764,20,84,1,552,440,39,34,30,3911,2974,290,357,1,87,77,0,10,833,816,2
254,34,127,18,15,0,3,0,78,2,"[39, 34, 4, 1]",2022-01-27,2022-04-07,93236,2712,2283,0,429,0,1112,381,373,0,8,0,0,0,0,0,0,2,224,189,10,25,12,1647,1235,301,111,0,0,0,0,0,1,387,268,65,54,0,0,0,0,0,1,233,170,45,18,0,0,0,0,0,16,2912,1862,421,208,2,234,189,10,25,12,1948,1235,301,111,1,452,268,65,54,1,278,170,45,18,14,2678,1673,411,183,2,234,189,10,25,506,505,2
255,37,183,21,19,0,2,0,74,8,"[38, 14, 9, 4, 3, 2, 1, 1, 1, 1]",2022-01-27,2022-04-07,95774,3237,2665,0,572,0,1025,306,297,0,9,0,0,0,0,0,0,1,367,330,10,27,15,1951,1598,188,165,0,0,0,0,0,3,605,419,113,73,0,0,0,0,0,1,109,82,13,14,0,0,0,0,0,20,3356,2429,324,279,1,377,330,10,27,15,2139,1598,188,165,3,718,419,113,73,1,122,82,13,14,19,2979,2099,314,252,1,377,330,10,27,635,635,2
256,36,98,17,15,0,2,0,86,3,"[48, 17, 16, 4, 1]",2022-01-27,2022-04-07,154144,2808,2469,0,339,0,1593,424,410,0,14,0,0,0,0,0,0,1,133,89,17,27,12,1771,1241,290,240,0,0,0,0,0,1,632,389,141,102,0,0,0,0,0,1,56,17,30,9,0,0,0,0,0,15,3070,1736,478,378,1,150,89,17,27,12,2061,1241,290,240,1,773,389,141,102,1,86,17,30,9,14,2920,1647,461,351,1,150,89,17,27,448,446,2
