project_index,folder_count,file_count,file_count_tslike,file_count_.ts,file_count_.tsx,file_count_.js,file_count_.jsx,commit_count,unique_commit_authors,commit_count_per_author,first_commit_date,last_commit_date,lines_of_code,lines_of_code_tslike,lines_of_code_.ts,lines_of_code_.tsx,lines_of_code_.js,lines_of_code_.jsx,lines_of_comments,lines_of_comments_tslike,lines_of_comments_.ts,lines_of_comments_.tsx,lines_of_comments_.js,lines_of_comments_.jsx,/frontend_.ts_file_count,/frontend_.ts_total_lines,/frontend_.ts_sloc,/frontend_.ts_total_lines_of_comments,/frontend_.ts_blank_lines,/frontend_.js_file_count,/frontend_.js_total_lines,/frontend_.js_sloc,/frontend_.js_total_lines_of_comments,/frontend_.js_blank_lines,/src_.ts_file_count,/src_.ts_total_lines,/src_.ts_sloc,/src_.ts_total_lines_of_comments,/src_.ts_blank_lines,/src_.js_file_count,/src_.js_total_lines,/src_.js_sloc,/src_.js_total_lines_of_comments,/src_.js_blank_lines,/test/controller_.ts_file_count,/test/controller_.ts_total_lines,/test/controller_.ts_sloc,/test/controller_.ts_total_lines_of_comments,/test/controller_.ts_blank_lines,/test/controller_.js_file_count,/test/controller_.js_total_lines,/test/controller_.js_sloc,/test/controller_.js_total_lines_of_comments,/test/controller_.js_blank_lines,/test/rest_.ts_file_count,/test/rest_.ts_total_lines,/test/rest_.ts_sloc,/test/rest_.ts_total_lines_of_comments,/test/rest_.ts_blank_lines,/test/rest_.js_file_count,/test/rest_.js_total_lines,/test/rest_.js_sloc,/test/rest_.js_total_lines_of_comments,/test/rest_.js_blank_lines,3_folders_file_count,3_folders_total_lines,3_folders_sloc,3_folders_total_lines_of_comments,3_folders_blank_lines,/frontend_file_count,/frontend_total_lines,/frontend_sloc,/frontend_total_lines_of_comments,/frontend_blank_lines,/src_file_count,/src_total_lines,/src_sloc,/src_total_lines_of_comments,/src_blank_lines,/test/controller_file_count,/test/controller_total_lines,/test/controller_sloc,/test/controller_total_lines_of_comments,/test/controller_blank_lines,/test/rest_file_count,/test/rest_total_lines,/test/rest_sloc,/test/rest_total_lines_of_comments,/test/rest_blank_lines,typescript_file_count,typescript_total_lines,typescript_sloc,typescript_total_lines_of_comments,typescript_blank_lines,javascript_file_count,javascript_total_lines,javascript_sloc,javascript_total_lines_of_comments,javascript_blank_lines,cc_sum,cc_sum_3folders,term
0,31,60,4,3,0,1,0,10,2,"[6, 2, 1, 1]",2021-09-21,2022-08-11,69046,367,257,0,110,0,633,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,143,54,74,15,0,0,0,0,0,1,114,80,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,347,134,90,33,0,0,0,0,0,2,217,54,74,15,1,130,80,16,18,0,0,0,0,0,3,347,134,90,33,0,0,0,0,0,29,29,1
1,45,140,44,30,12,2,0,25,3,"[11, 8, 3, 2, 1]",2021-09-21,2021-12-07,151306,5604,4775,704,125,0,1476,370,370,0,0,0,17,869,798,5,66,1,14,14,0,0,23,1782,1281,355,146,0,0,0,0,0,1,2775,2523,3,249,0,0,0,0,0,1,53,16,29,8,0,0,0,0,0,43,5885,4632,392,469,18,888,812,5,66,23,2137,1281,355,146,1,2778,2523,3,249,1,82,16,29,8,42,5871,4618,392,469,1,14,14,0,0,694,694,1
2,38,249,40,38,0,2,0,155,4,"[60, 32, 30, 29, 3, 1]",2021-09-21,2021-11-29,167535,4259,4029,0,230,0,2148,772,771,0,1,0,0,0,0,0,0,1,115,94,1,20,33,2799,1770,584,445,0,0,0,0,0,3,681,523,62,96,0,0,0,0,0,1,362,263,66,33,0,0,0,0,0,38,4670,2650,713,594,1,116,94,1,20,33,3383,1770,584,445,3,743,523,62,96,1,428,263,66,33,37,4554,2556,712,574,1,116,94,1,20,1262,668,1
3,37,201,16,14,0,2,0,270,4,"[135, 129, 3, 1, 1, 1]",2021-09-21,2021-12-07,247553,3102,2722,0,380,0,1803,144,137,0,7,0,0,0,0,0,0,1,265,216,7,42,11,1645,1378,121,146,0,0,0,0,0,1,756,683,6,67,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,14,2883,2293,163,264,1,272,216,7,42,11,1766,1378,121,146,1,762,683,6,67,1,83,16,29,9,13,2611,2077,156,222,1,272,216,7,42,642,642,1
4,44,316,61,46,13,2,0,33,4,"[18, 9, 2, 2, 1, 1]",2021-09-21,2021-11-29,201698,5879,4814,933,132,0,2187,730,656,74,0,0,17,1199,982,92,125,1,17,17,0,0,35,3116,2180,599,337,0,0,0,0,0,1,935,778,25,132,0,0,0,0,0,1,342,283,4,55,0,0,0,0,0,55,6329,4240,720,649,18,1308,999,92,125,35,3715,2180,599,337,1,960,778,25,132,1,346,283,4,55,54,6312,4223,720,649,1,17,17,0,0,775,756,1
5,35,338,19,17,0,2,0,96,5,"[51, 19, 18, 3, 2, 2, 1]",2021-09-21,2021-12-07,228182,3483,3204,0,279,0,1305,451,441,0,10,0,0,0,0,0,0,1,164,146,10,8,12,1933,1526,303,104,0,0,0,0,0,2,440,320,75,45,0,0,0,0,0,1,365,229,115,21,0,0,0,0,0,16,3405,2221,503,178,1,174,146,10,8,12,2236,1526,303,104,2,515,320,75,45,1,480,229,115,21,15,3231,2075,493,170,1,174,146,10,8,774,774,1
6,35,178,13,11,0,2,0,81,3,"[39, 22, 16, 3, 1]",2021-09-21,2021-12-07,153349,2886,2170,0,716,0,933,156,153,0,3,0,0,0,0,0,0,1,601,536,4,61,9,1518,1264,135,119,0,0,0,0,0,1,595,523,16,56,0,0,0,0,0,1,57,41,5,11,0,0,0,0,0,12,2931,2364,160,247,1,605,536,4,61,9,1653,1264,135,119,1,611,523,16,56,1,62,41,5,11,11,2326,1828,156,186,1,605,536,4,61,600,600,1
7,33,137,15,13,0,2,0,309,19,"[135, 104, 37, 6, 4, 4, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2021-09-21,2021-12-05,175308,3433,3053,0,380,0,1626,244,205,0,39,0,0,0,0,0,0,1,265,153,87,25,11,1735,1405,181,149,0,0,0,0,0,1,705,552,92,61,0,0,0,0,0,1,613,551,25,37,0,0,0,0,0,14,3703,2661,385,272,1,352,153,87,25,11,1916,1405,181,149,1,797,552,92,61,1,638,551,25,37,13,3351,2508,298,247,1,352,153,87,25,738,738,1
8,63,300,89,74,14,1,0,73,2,"[45, 25, 2, 1]",2021-09-21,2021-12-05,148459,7308,5363,1830,115,0,1196,427,424,3,0,0,45,2593,2303,17,273,0,0,0,0,0,32,2769,1988,239,542,0,0,0,0,0,1,254,177,16,61,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,79,5971,4484,301,885,45,2610,2303,17,273,32,3008,1988,239,542,1,270,177,16,61,1,83,16,29,9,79,5971,4484,301,885,0,0,0,0,0,977,783,1
9,39,325,21,19,0,2,0,152,3,"[75, 56, 17, 3, 1]",2021-09-21,2021-11-29,223159,2721,2525,0,196,0,1476,529,526,0,3,0,0,0,0,0,0,1,81,63,3,15,15,2112,1632,283,197,0,0,0,0,0,2,337,82,243,12,0,0,0,0,0,1,62,-11,64,9,0,0,0,0,0,19,3185,1766,593,233,1,84,63,3,15,15,2395,1632,283,197,2,580,82,243,12,1,126,-11,64,9,18,3101,1703,590,218,1,84,63,3,15,347,346,1
10,38,168,18,16,0,2,0,99,4,"[41, 33, 11, 10, 3, 1]",2021-09-21,2021-11-29,146503,3008,2674,0,334,0,1258,156,149,0,7,0,0,0,0,0,0,1,219,191,7,21,14,2125,1810,122,193,0,0,0,0,0,1,471,405,17,49,0,0,0,0,0,1,78,57,10,11,0,0,0,0,0,17,3049,2463,156,274,1,226,191,7,21,14,2247,1810,122,193,1,488,405,17,49,1,88,57,10,11,16,2823,2272,149,253,1,226,191,7,21,645,645,1
11,44,346,27,25,0,2,0,36,3,"[15, 14, 4, 2, 1]",2021-09-21,2021-11-19,194555,3971,3851,0,120,0,1621,282,282,0,0,0,5,48,38,2,8,1,5,5,0,0,17,1979,1534,259,186,0,0,0,0,0,1,1234,1027,66,141,0,0,0,0,0,1,479,441,8,30,0,0,0,0,0,25,4080,3045,335,365,6,55,43,2,8,17,2238,1534,259,186,1,1300,1027,66,141,1,487,441,8,30,24,4075,3040,335,365,1,5,5,0,0,672,672,1
12,41,253,29,18,0,6,5,108,4,"[51, 26, 18, 9, 3, 1]",2021-09-21,2021-11-29,260497,3708,2941,0,511,256,1810,237,233,0,4,0,0,0,0,0,0,10,652,594,5,53,15,1783,1362,193,228,0,0,0,0,0,1,620,541,18,61,0,0,0,0,0,1,285,262,3,20,0,0,0,0,0,27,3559,2759,219,362,10,657,594,5,53,15,1976,1362,193,228,1,638,541,18,61,1,288,262,3,20,17,2902,2165,214,309,10,657,594,5,53,635,635,1
13,37,153,18,16,0,2,0,126,4,"[59, 29, 24, 10, 3, 1]",2021-09-21,2021-11-29,146727,2831,2424,0,407,0,1326,180,177,0,3,0,0,0,0,0,0,1,292,259,13,20,14,1701,1394,165,142,0,0,0,0,0,1,487,420,18,49,0,0,0,0,0,1,236,215,0,21,0,0,0,0,0,17,2912,2288,196,232,1,305,259,13,20,14,1866,1394,165,142,1,505,420,18,49,1,236,215,0,21,16,2607,2029,183,212,1,305,259,13,20,569,569,1
14,1489,10319,6422,1189,0,5233,0,81,13,"[32, 13, 10, 4, 3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1]",2021-09-21,2021-12-05,3148315,1934504,159159,0,1775345,0,371463,325600,46893,0,278707,0,0,0,0,0,0,1,527,475,19,33,12,1668,1350,210,108,0,0,0,0,0,1,351,0,309,42,0,0,0,0,0,1,59,24,24,11,0,0,0,0,0,15,3167,1849,562,194,1,546,475,19,33,12,1878,1350,210,108,1,660,0,309,42,1,83,24,24,11,14,2621,1374,543,161,1,546,475,19,33,413164,3485,1
15,52,348,22,20,0,2,0,82,3,"[48, 16, 15, 2, 1]",2021-09-21,2021-12-07,342585,3310,3179,0,131,0,6827,286,286,0,0,0,6,436,384,18,34,1,16,16,0,0,10,1310,995,152,163,0,0,0,0,0,1,693,519,144,30,0,0,0,0,0,1,440,410,12,18,0,0,0,0,0,19,3221,2324,326,245,7,470,400,18,34,10,1462,995,152,163,1,837,519,144,30,1,452,410,12,18,18,3205,2308,326,245,1,16,16,0,0,1240,646,1
16,50,328,27,22,0,5,0,109,4,"[59, 34, 8, 4, 3, 1]",2021-09-21,2021-12-07,683192,4290,3496,0,794,0,3770,491,485,0,6,0,0,0,0,0,0,4,679,603,6,70,18,1881,1460,251,170,0,0,0,0,0,1,1075,752,248,75,0,0,0,0,0,1,334,291,19,24,0,0,0,0,0,24,4493,3106,524,339,4,685,603,6,70,18,2132,1460,251,170,1,1323,752,248,75,1,353,291,19,24,20,3808,2503,518,269,4,685,603,6,70,896,695,1
17,33,87,13,11,0,2,0,53,3,"[26, 16, 8, 2, 1]",2021-09-21,2021-12-07,119715,1939,1783,0,156,0,933,218,212,0,6,0,0,0,0,0,0,1,41,33,6,2,9,1388,1089,205,94,0,0,0,0,0,1,341,283,8,50,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,12,2072,1421,248,155,1,47,33,6,2,9,1593,1089,205,94,1,349,283,8,50,1,83,16,29,9,11,2025,1388,242,153,1,47,33,6,2,382,382,1
18,46,311,37,35,0,2,0,214,2,"[107, 103, 3, 1]",2021-09-21,2021-11-26,388478,5166,4772,0,394,0,2425,1115,1103,0,12,0,0,0,0,0,0,1,279,213,23,43,28,2904,1931,667,306,0,0,0,0,0,5,1335,723,541,71,0,0,0,0,0,1,445,379,29,37,0,0,0,0,0,35,6223,3246,1260,457,1,302,213,23,43,28,3571,1931,667,306,5,1876,723,541,71,1,474,379,29,37,34,5921,3033,1237,414,1,302,213,23,43,1017,616,1
19,41,248,29,25,0,4,0,307,3,"[151, 106, 46, 3, 1]",2021-09-21,2021-12-07,171222,4692,4192,0,500,0,2059,703,566,0,137,0,0,0,0,0,0,3,385,219,139,27,18,2862,2017,589,256,0,0,0,0,0,6,1016,831,46,139,0,0,0,0,0,1,314,247,36,31,0,0,0,0,0,28,5387,3314,810,453,3,524,219,139,27,18,3451,2017,589,256,6,1062,831,46,139,1,350,247,36,31,25,4863,3095,671,426,3,524,219,139,27,773,773,1
20,40,273,14,12,0,2,0,203,5,"[95, 52, 31, 17, 4, 3, 1]",2021-09-21,2021-11-28,341856,3323,3108,0,215,0,2699,319,317,0,2,0,0,0,0,0,0,1,100,81,2,17,8,1430,1209,155,66,0,0,0,0,0,1,1040,830,128,82,0,0,0,0,0,1,104,64,26,14,0,0,0,0,0,11,2985,2184,311,179,1,102,81,2,17,8,1585,1209,155,66,1,1168,830,128,82,1,130,64,26,14,10,2883,2103,309,162,1,102,81,2,17,487,487,1
21,35,184,34,24,0,10,0,61,4,"[18, 14, 13, 12, 3, 1]",2021-09-21,2021-11-28,199685,2686,2242,0,444,0,1327,234,229,0,5,0,0,0,0,0,0,9,329,293,7,29,21,1680,1350,179,151,0,0,0,0,0,2,435,383,12,40,0,0,0,0,0,1,127,72,41,14,0,0,0,0,0,33,2810,2098,239,234,9,336,293,7,29,21,1859,1350,179,151,2,447,383,12,40,1,168,72,41,14,24,2474,1805,232,205,9,336,293,7,29,514,514,1
22,39,154,30,26,0,4,0,124,5,"[55, 24, 23, 15, 3, 3, 1]",2021-09-21,2021-12-01,110776,4408,3546,0,862,0,1723,978,953,0,25,0,0,0,0,0,0,3,747,573,30,144,23,2901,2141,409,351,0,0,0,0,0,1,555,0,555,0,0,0,0,0,0,1,79,43,24,12,0,0,0,0,0,28,5300,2757,1018,507,3,777,573,30,144,23,3310,2141,409,351,1,1110,0,555,0,1,103,43,24,12,25,4523,2184,988,363,3,777,573,30,144,644,642,1
23,70,312,65,64,0,1,0,112,5,"[53, 32, 21, 2, 2, 1, 1]",2021-09-21,2022-01-23,401116,4621,4506,0,115,0,3525,308,308,0,0,0,13,581,443,23,115,0,0,0,0,0,43,2427,1849,183,395,0,0,0,0,0,1,419,310,51,58,0,0,0,0,0,3,616,527,57,32,0,0,0,0,0,60,4357,3129,314,600,13,604,443,23,115,43,2610,1849,183,395,1,470,310,51,58,3,673,527,57,32,60,4357,3129,314,600,0,0,0,0,0,601,541,1
24,140,6949,23,21,0,2,0,87,4,"[35, 23, 13, 12, 3, 1]",2021-09-21,2021-11-29,583713,3586,3291,0,295,0,18418,952,952,0,0,0,0,0,0,0,0,1,180,163,0,17,18,2231,1881,193,157,0,0,0,0,0,1,985,185,762,38,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,21,4434,2245,984,221,1,180,163,0,17,18,2424,1881,193,157,1,1747,185,762,38,1,83,16,29,9,20,4254,2082,984,204,1,180,163,0,17,2906,530,1
25,34,185,15,13,0,2,0,100,4,"[38, 28, 17, 13, 3, 1]",2021-09-21,2021-11-29,115877,2974,2627,0,347,0,1048,171,170,0,1,0,0,0,0,0,0,1,232,220,1,11,11,1671,1419,113,139,0,0,0,0,0,1,900,652,50,198,0,0,0,0,0,1,56,18,29,9,0,0,0,0,0,14,3052,2309,193,357,1,233,220,1,11,11,1784,1419,113,139,1,950,652,50,198,1,85,18,29,9,13,2819,2089,192,346,1,233,220,1,11,649,649,1
26,42,290,17,15,0,2,0,93,4,"[44, 18, 14, 13, 3, 1]",2021-09-21,2021-12-07,171298,2989,2751,0,238,0,3787,404,393,0,11,0,0,0,0,0,0,1,123,105,11,7,9,701,393,232,76,0,0,0,0,0,1,1067,987,44,36,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,12,2261,1501,316,128,1,134,105,11,7,9,933,393,232,76,1,1111,987,44,36,1,83,16,29,9,11,2127,1396,305,121,1,134,105,11,7,916,718,1
27,93,354,26,13,0,3,10,126,5,"[70, 23, 18, 10, 3, 1, 1]",2021-09-21,2021-11-29,137094,3073,2309,0,150,614,1269,305,268,0,1,36,0,0,0,0,0,11,619,517,37,65,9,1252,998,128,126,0,0,0,0,0,3,794,594,135,65,0,0,0,0,0,1,263,210,28,25,0,0,0,0,0,24,3256,2319,328,281,11,656,517,37,65,9,1380,998,128,126,3,929,594,135,65,1,291,210,28,25,13,2600,1802,291,216,11,656,517,37,65,437,437,1
28,42,180,18,16,0,2,0,167,4,"[56, 51, 38, 18, 3, 1]",2021-09-21,2021-12-07,147589,2793,2284,0,509,0,1218,152,152,0,0,0,0,0,0,0,0,1,394,372,0,22,13,1647,1382,120,145,0,0,0,0,0,1,441,393,27,21,0,0,0,0,0,1,69,35,24,10,0,0,0,0,0,16,2722,2182,171,198,1,394,372,0,22,13,1767,1382,120,145,1,468,393,27,21,1,93,35,24,10,15,2328,1810,171,176,1,394,372,0,22,809,611,1
29,43,116,26,18,0,8,0,91,9,"[27, 26, 20, 4, 3, 3, 3, 2, 1, 1, 1]",2021-09-08,2021-12-07,145072,3488,3098,0,390,0,1112,380,370,0,10,0,1,1,0,1,0,7,279,239,10,30,12,2195,1496,504,195,0,0,0,0,0,1,440,365,28,47,0,0,0,0,0,1,92,39,44,9,0,0,0,0,0,22,3594,2139,587,281,8,291,239,11,30,12,2699,1496,504,195,1,468,365,28,47,1,136,39,44,9,15,3305,1900,577,251,7,289,239,10,30,578,498,1
30,38,190,17,15,0,2,0,67,3,"[34, 22, 7, 3, 1]",2021-09-21,2021-11-29,315163,2729,2438,0,291,0,3124,626,625,0,1,0,0,0,0,0,0,1,176,153,7,16,13,1921,1575,194,152,0,0,0,0,0,1,463,-5,468,0,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,16,3312,1739,698,177,1,183,153,7,16,13,2115,1575,194,152,1,931,-5,468,0,1,83,16,29,9,15,3129,1586,691,161,1,183,153,7,16,368,368,1
31,36,291,30,22,5,3,0,91,3,"[57, 22, 8, 3, 1]",2021-09-21,2021-11-28,221055,4565,3546,487,532,0,2107,893,792,20,81,0,8,508,432,29,47,0,0,0,0,0,16,2456,1478,751,227,2,417,329,88,0,1,718,532,110,76,0,0,0,0,0,1,53,19,25,9,0,0,0,0,0,28,5155,2790,1003,359,8,537,432,29,47,18,3712,1807,839,227,1,828,532,110,76,1,78,19,25,9,26,4650,2461,915,359,2,505,329,88,0,759,759,1
32,33,109,14,12,0,2,0,144,4,"[72, 27, 22, 19, 3, 1]",2021-09-21,2021-12-05,106321,7425,6441,0,984,0,1033,314,306,0,8,0,0,0,0,0,0,1,869,791,12,66,10,1857,1430,283,144,0,0,0,0,0,1,4028,3595,18,415,0,0,0,0,0,1,556,527,9,20,0,0,0,0,0,13,7632,6343,322,645,1,881,791,12,66,10,2140,1430,283,144,1,4046,3595,18,415,1,565,527,9,20,12,6751,5552,310,579,1,881,791,12,66,1027,1027,1
33,37,104,20,18,0,2,0,81,4,"[48, 13, 9, 7, 3, 1]",2021-09-21,2021-12-06,218064,2374,2179,0,195,0,1853,144,144,0,0,0,0,0,0,0,0,1,80,71,0,9,15,1735,1447,119,169,0,0,0,0,0,2,380,330,20,30,0,0,0,0,0,1,64,41,9,14,0,0,0,0,0,19,2407,1889,148,222,1,80,71,0,9,15,1854,1447,119,169,2,400,330,20,30,1,73,41,9,14,18,2327,1818,148,213,1,80,71,0,9,496,496,1
34,37,140,21,19,0,2,0,69,5,"[30, 19, 11, 3, 3, 2, 1]",2021-09-21,2021-11-29,126516,2653,2298,0,355,0,1108,194,192,0,2,0,0,0,0,0,0,1,240,185,6,49,16,1474,1093,168,213,0,0,0,0,0,2,598,472,16,110,0,0,0,0,0,1,226,169,31,26,0,0,0,0,0,20,2759,1919,221,398,1,246,185,6,49,16,1642,1093,168,213,2,614,472,16,110,1,257,169,31,26,19,2513,1734,215,349,1,246,185,6,49,503,503,1
35,38,181,23,21,0,2,0,89,5,"[31, 18, 15, 14, 8, 2, 1]",2021-09-21,2021-12-07,147597,3576,3353,0,223,0,1248,353,352,0,1,0,5,584,504,52,28,1,108,107,1,0,14,1888,1368,310,210,0,0,0,0,0,1,555,465,27,63,0,0,0,0,0,1,326,297,0,29,0,0,0,0,0,22,3851,2741,390,330,6,745,611,53,28,14,2198,1368,310,210,1,582,465,27,63,1,326,297,0,29,21,3742,2634,389,330,1,109,107,1,0,534,534,1
36,37,145,19,17,0,2,0,23,3,"[9, 7, 3, 3, 1]",2021-09-21,2021-12-07,208433,2974,2689,0,285,0,1602,325,315,0,10,0,1,187,137,34,16,1,174,134,13,27,13,1723,1373,233,117,0,0,0,0,0,1,517,415,23,79,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,17,2987,2075,332,248,2,408,271,47,43,13,1956,1373,233,117,1,540,415,23,79,1,83,16,29,9,16,2800,1941,319,221,1,187,134,13,27,562,562,1
37,37,302,32,25,0,7,0,65,5,"[21, 16, 11, 8, 5, 3, 1]",2021-09-21,2021-12-06,252592,3345,2902,0,443,0,2349,302,297,0,5,0,0,0,0,0,0,5,304,262,7,35,23,2144,1755,186,203,0,0,0,0,0,1,508,425,19,64,0,0,0,0,0,1,250,128,110,12,0,0,0,0,0,30,3528,2570,322,314,5,311,262,7,35,23,2330,1755,186,203,1,527,425,19,64,1,360,128,110,12,25,3217,2308,315,279,5,311,262,7,35,612,612,1
38,33,107,14,12,0,2,0,86,2,"[46, 35, 4, 1]",2021-09-21,2021-12-07,150373,1652,1371,0,281,0,885,154,143,0,11,0,0,0,0,0,0,1,170,132,11,27,9,846,624,130,92,0,0,0,0,0,1,310,249,12,49,0,0,0,0,0,1,196,168,8,20,0,0,0,0,0,12,1683,1173,161,188,1,181,132,11,27,9,976,624,130,92,1,322,249,12,49,1,204,168,8,20,11,1502,1041,150,161,1,181,132,11,27,232,229,1
39,40,206,27,24,0,3,0,48,2,"[33, 11, 3, 1]",2021-09-21,2021-11-28,162159,4055,3669,0,386,0,1489,255,255,0,0,0,0,0,0,0,0,2,271,244,0,27,22,1906,1549,143,214,0,0,0,0,0,1,1709,1339,158,212,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,26,4270,3148,330,462,2,271,244,0,27,22,2049,1549,143,214,1,1867,1339,158,212,1,83,16,29,9,24,3999,2904,330,435,2,271,244,0,27,794,794,1
40,33,81,18,17,0,1,0,96,4,"[40, 21, 16, 15, 3, 1]",2021-09-21,2021-12-07,101261,4659,4544,0,115,0,1075,319,319,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1631,1244,217,170,0,0,0,0,0,1,2600,2386,113,101,0,0,0,0,0,1,51,34,7,10,0,0,0,0,0,15,4619,3664,337,281,0,0,0,0,0,13,1848,1244,217,170,1,2713,2386,113,101,1,58,34,7,10,15,4619,3664,337,281,0,0,0,0,0,639,637,1
41,42,146,21,12,0,7,2,49,2,"[27, 19, 2, 1]",2021-09-21,2021-12-05,107852,2932,2509,0,231,192,1012,263,253,0,8,2,0,0,0,0,0,8,308,276,10,22,9,1419,1170,155,94,0,0,0,0,0,2,579,501,23,55,0,0,0,0,0,1,511,371,110,30,0,0,0,0,0,20,3115,2318,298,201,8,318,276,10,22,9,1574,1170,155,94,2,602,501,23,55,1,621,371,110,30,12,2797,2042,288,179,8,318,276,10,22,506,506,1
42,85,493,84,66,0,9,9,186,4,"[91, 72, 14, 6, 2, 1]",2021-09-21,2021-11-29,254921,11169,10549,0,209,411,3684,1538,1524,0,7,7,0,0,0,0,0,17,505,428,15,62,58,4405,2637,1235,533,0,0,0,0,0,6,6071,4987,376,708,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,82,12690,8068,1655,1312,17,520,428,15,62,58,5640,2637,1235,533,6,6447,4987,376,708,1,83,16,29,9,65,12170,7640,1640,1250,17,520,428,15,62,1579,1575,1
43,101,159,35,32,0,3,0,200,5,"[59, 58, 49, 19, 11, 3, 1]",2021-09-21,2021-12-06,154400,5060,4924,0,136,0,2471,663,663,0,0,0,10,280,253,5,22,2,21,20,0,1,18,2090,1506,400,184,0,0,0,0,0,3,2458,2033,257,168,0,0,0,0,0,1,96,33,48,15,0,0,0,0,0,34,5655,3845,710,390,12,306,273,5,23,18,2490,1506,400,184,3,2715,2033,257,168,1,144,33,48,15,32,5634,3825,710,389,2,21,20,0,1,2204,620,1
44,56,138,28,19,0,9,0,149,4,"[62, 44, 23, 16, 3, 1]",2021-09-21,2021-11-29,200711,2744,2336,0,408,0,1952,706,689,0,17,0,0,0,0,0,0,8,293,220,18,55,11,1433,999,285,149,0,0,0,0,0,7,740,323,373,44,0,0,0,0,0,1,163,105,36,22,0,0,0,0,0,27,3341,1647,712,270,8,311,220,18,55,11,1718,999,285,149,7,1113,323,373,44,1,199,105,36,22,19,3030,1427,694,215,8,311,220,18,55,348,348,1
45,35,132,16,14,0,2,0,100,4,"[43, 38, 10, 5, 3, 1]",2021-09-21,2021-12-04,220535,2760,2487,0,273,0,1963,166,166,0,0,0,0,0,0,0,0,1,158,138,0,20,12,1754,1443,127,184,0,0,0,0,0,1,679,583,29,67,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,15,2830,2180,185,280,1,158,138,0,20,12,1881,1443,127,184,1,708,583,29,67,1,83,16,29,9,14,2672,2042,185,260,1,158,138,0,20,679,679,1
46,33,77,17,14,0,3,0,54,4,"[19, 17, 11, 3, 3, 1]",2021-09-21,2021-12-07,90813,2151,1754,0,397,0,870,164,149,0,15,0,0,0,0,0,0,2,282,265,15,2,12,1449,1218,121,110,0,0,0,0,0,1,206,167,15,24,0,0,0,0,0,1,99,75,13,11,0,0,0,0,0,16,2200,1725,164,147,2,297,265,15,2,12,1570,1218,121,110,1,221,167,15,24,1,112,75,13,11,14,1903,1460,149,145,2,297,265,15,2,469,469,1
47,77,585,27,20,6,1,0,79,4,"[49, 22, 4, 2, 1, 1]",2021-09-21,2021-11-29,766283,2690,2240,335,115,0,1522,171,170,1,0,0,13,475,439,8,28,0,0,0,0,0,10,1063,833,131,99,0,0,0,0,0,1,759,656,22,81,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,25,2541,1944,190,217,13,483,439,8,28,10,1194,833,131,99,1,781,656,22,81,1,83,16,29,9,25,2541,1944,190,217,0,0,0,0,0,571,571,1
48,34,101,13,11,0,2,0,147,4,"[68, 57, 14, 4, 3, 1]",2021-09-21,2021-12-03,207606,2053,1807,0,246,0,1254,115,112,0,3,0,0,0,0,0,0,1,131,104,7,20,8,1514,1338,93,83,0,0,0,0,0,1,233,179,16,38,0,0,0,0,0,1,54,16,29,9,0,0,0,0,0,11,2077,1637,145,150,1,138,104,7,20,8,1607,1338,93,83,1,249,179,16,38,1,83,16,29,9,10,1939,1533,138,130,1,138,104,7,20,386,385,1
49,33,240,14,12,0,2,0,92,3,"[45, 27, 16, 3, 1]",2021-09-22,2021-11-20,412510,3520,3208,0,312,0,3156,297,272,0,25,0,0,0,0,0,0,1,197,157,25,15,9,1692,1381,180,131,0,0,0,0,0,1,811,618,115,78,0,0,0,0,0,1,690,645,6,39,0,0,0,0,0,12,3716,2801,326,263,1,222,157,25,15,9,1872,1381,180,131,1,926,618,115,78,1,696,645,6,39,11,3494,2644,301,248,1,222,157,25,15,800,799,1
50,37,314,18,16,0,2,0,157,4,"[56, 52, 28, 17, 3, 1]",2021-09-22,2021-11-29,232796,4878,4620,0,258,0,2434,562,555,0,7,0,0,0,0,0,0,1,143,122,7,14,14,2366,1960,180,226,0,0,0,0,0,1,1091,845,135,111,0,0,0,0,0,1,1163,853,246,64,0,0,0,0,0,17,5331,3780,568,415,1,150,122,7,14,14,2546,1960,180,226,1,1226,845,135,111,1,1409,853,246,64,16,5181,3658,561,401,1,150,122,7,14,676,676,1
